sigma_tot_up52,,sigma_tot_up72,,sigma_HI,,sigma_H2,,vcirc_kam,,vcirc_koch,,sigma_sfr,
r kpc,sigma_tot_up52,r kpc,sigma_tot_up72,r kpc,sigma_HI,r kpc,sigma_H2,r kpc,kms_vcirc_Kam,arcsec_r,kms_vcirc_Koch,r kpc,sigma_sfr
0.313968603,226.7292133,0.313968603,313.9327569,,,,,,,,,,
0.315968403,226.4749885,0.315968403,313.5807534,,,,,,,,,,
0.317968203,226.2210488,0.317968203,313.2291445,,,,,,,,,,
0.319968003,225.9673938,0.319968003,312.8779299,,,,,,,,,,
0.321967803,225.7140233,0.321967803,312.5271091,,,,,,,,,,
0.323967603,225.4609368,0.323967603,312.1766817,,,,,,,,,,
0.325967403,225.2081341,0.325967403,311.8266472,,,,,,,,,,
0.327967203,224.9556149,0.327967203,311.4770052,,,,,,,,,,
0.329967003,224.7033788,0.329967003,311.1277552,,,,,,,,,,
0.331966803,224.4514255,0.331966803,310.7788969,,,,,,,,,,
0.333966603,224.1997548,0.333966603,310.4304297,,,,,,,,,,
0.335966403,223.9483662,0.335966403,310.0823532,,,,,,,,,,
0.337966203,223.6972595,0.337966203,309.734667,,,,,,,,,,
0.339966003,223.4464344,0.339966003,309.3873707,,,,,,,,,,
0.341965803,223.1958905,0.341965803,309.0404637,,,,,,,,,,
0.343965603,222.9456275,0.343965603,308.6939458,,,,,,,,,,
0.345965403,222.6956452,0.345965403,308.3478164,,,,,,,,,,
0.347965203,222.4459431,0.347965203,308.0020751,,,,,,,,,,
0.349965003,222.196521,0.349965003,307.6567214,,,,,,,,,,
0.351964804,221.9473786,0.351964804,307.311755,,,,,,,,,,
0.353964604,221.6985156,0.353964604,306.9671754,,,,,,,,,,
0.355964404,221.4499316,0.355964404,306.6229822,,,,,,,,,,
0.357964204,221.2016263,0.357964204,306.2791749,,,,,,,,,,
0.359964004,220.9535995,0.359964004,305.9357531,,,,,,,,,,
0.361963804,220.7058507,0.361963804,305.5927164,,,,,,,,,,
0.363963604,220.4583798,0.363963604,305.2500643,,,,,,,,,,
0.365963404,220.2111863,0.365963404,304.9077964,,,,,,,,,,
0.367963204,219.96427,0.367963204,304.5659123,,,,,,,,,,
0.369963004,219.7176306,0.369963004,304.2244115,,,,,,,,,,
0.371962804,219.4712677,0.371962804,303.8832937,,,,,,,,,,
0.373962604,219.225181,0.373962604,303.5425583,,,,,,,,,,
0.375962404,218.9793703,0.375962404,303.202205,,,,,,,,,,
0.377962204,218.7338352,0.377962204,302.8622333,,,,,,,,,,
0.379962004,218.4885754,0.379962004,302.5226429,,,,,,,,,,
0.381961804,218.2435906,0.381961804,302.1834331,,,,,,,,,,
0.383961604,217.9988805,0.383961604,301.8446038,,,,,,,,,,
0.385961404,217.7544448,0.385961404,301.5061543,,,,,,,,,,
0.387961204,217.5102832,0.387961204,301.1680844,,,,,,,,,,
0.389961004,217.2663953,0.389961004,300.8303935,,,,,,,,,,
0.391960804,217.0227809,0.391960804,300.4930813,,,,,,,,,,
0.393960604,216.7794397,0.393960604,300.1561473,,,,,,,,,,
0.395960404,216.5363713,0.395960404,299.819591,,,,,,,,,,
0.397960204,216.2935755,0.397960204,299.4834122,,,,,,,,,,
0.399960004,216.0510519,0.399960004,299.1476103,,,,,,,,,,
0.401959804,215.8088002,0.401959804,298.8121849,,,,,,,,,,
0.403959604,215.5668202,0.403959604,298.4771356,,,,,,,,,,
0.405959404,215.3251114,0.405959404,298.142462,,,,,,,,,,
0.407959204,215.0836737,0.407959204,297.8081637,,,,,,,,,,
0.409959004,214.8425068,0.409959004,297.4742402,,,,,,,,,,
0.411958804,214.6016102,0.411958804,297.1406911,,,,,,,,,,
0.413958604,214.3609838,0.413958604,296.807516,,,,,,,,,,
0.415958404,214.1206271,0.415958404,296.4747145,,,,,,,,,,
0.417958204,213.88054,0.417958204,296.1422861,,,,,,,,,,
0.419958004,213.6407221,0.419958004,295.8102305,,,,,,,,,,
0.421957804,213.401173,0.421957804,295.4785473,,,,,,,,,,
0.423957604,213.1618926,0.423957604,295.1472359,,,,,,,,,,
0.425957404,212.9228804,0.425957404,294.816296,,,,,,,,,,
0.427957204,212.6841363,0.427957204,294.4857272,,,,,,,,,,
0.429957004,212.4456599,0.429957004,294.155529,,,,,,,,,,
0.431956804,212.2074508,0.431956804,293.8257011,,,,,,,,,,
0.433956604,211.9695089,0.433956604,293.496243,,,,,,,,,,
0.435956404,211.7318337,0.435956404,293.1671544,,,,,,,,,,
0.437956204,211.4944251,0.437956204,292.8384347,,,,,,,,,,
0.439956004,211.2572826,0.439956004,292.5100836,,,,,,,,,,
0.441955804,211.0204061,0.441955804,292.1821007,,,,,,,,,,
0.443955604,210.7837951,0.443955604,291.8544855,,,,,,,,,,
0.445955404,210.5474495,0.445955404,291.5272377,,,,,,,,,,
0.447955204,210.3113688,0.447955204,291.2003568,,,,,,,,,,
0.449955004,210.0755529,0.449955004,290.8738425,,,,,,,,,,
0.451954805,209.8400014,0.451954805,290.5476942,,,,,,,,,,
0.453954605,209.604714,0.453954605,290.2219117,,,,,,,,,,
0.455954405,209.3696904,0.455954405,289.8964944,,,,,,,,,,
0.457954205,209.1349303,0.457954205,289.571442,,,,,,,,,,
0.459954005,208.9004335,0.459954005,289.2467541,,,,,,,,,,
0.461953805,208.6661996,0.461953805,288.9224303,,,,,,,,,,
0.463953605,208.4322284,0.463953605,288.5984701,,,,,,,,,,
0.465953405,208.1985195,0.465953405,288.2748731,,,,,,,,,,
0.467953205,207.9650726,0.467953205,287.951639,,,,,,,,,,
0.469953005,207.7318875,0.469953005,287.6287673,,,,,,,,,,
0.471952805,207.4989639,0.471952805,287.3062577,,,,,,,,,,
0.473952605,207.2663014,0.473952605,286.9841097,,,,,,,,,,
0.475952405,207.0338998,0.475952405,286.6623229,,,,,,,,,,
0.477952205,206.8017588,0.477952205,286.3408969,,,,,,,,,,
0.479952005,206.5698781,0.479952005,286.0198313,,,,,,,,,,
0.481951805,206.3382574,0.481951805,285.6991257,,,,,,,,,,
0.483951605,206.1068964,0.483951605,285.3787797,,,,,,,,,,
0.485951405,205.8757949,0.485951405,285.0587929,,,,,,,,,,
0.487951205,205.6449524,0.487951205,284.7391649,,,,,,,,,,
0.489951005,205.4143688,0.489951005,284.4198953,,,,,,,,,,
0.491950805,205.1840437,0.491950805,284.1009836,,,,,,,,,,
0.493950605,204.9539769,0.493950605,283.7824296,,,,,,,,,,
0.495950405,204.7241681,0.495950405,283.4642327,,,,,,,,,,
0.497950205,204.4946169,0.497950205,283.1463926,,,,,,,,,,
0.499950005,204.2653231,0.499950005,282.828909,,,,,,,,,,
0.501949805,204.0362865,0.501949805,282.5117812,,,,,,,,,,
0.503949605,203.8075066,0.503949605,282.1950091,,,,,,,,,,
0.505949405,203.5789833,0.505949405,281.8785922,,,,,,,,,,
0.507949205,203.3507161,0.507949205,281.56253,,,,,,,,,,
0.509949005,203.122705,0.509949005,281.2468223,,,,,,,,,,
0.511948805,202.8949495,0.511948805,280.9314685,,,,,,,,,,
0.513948605,202.6674494,0.513948605,280.6164684,,,,,,,,,,
0.515948405,202.4402044,0.515948405,280.3018214,,,,,,,,,,
0.517948205,202.2132141,0.517948205,279.9875273,,,,,,,,,,
0.519948005,201.9864784,0.519948005,279.6735855,,,,,,,,,,
